tileid,class,quantile
119186,4,1.0
119567,4,0.973
119571,4,0.949
119572,3,0.61
119679,1,0.0
119708,4,1.0
119715,4,1.0
119717,2,0.437
119718,4,1.0
119720,4,0.966
119728,1,0.002
119854,4,0.999
119857,4,1.0
119858,4,1.0
119859,1,0.057
119888,4,0.97
119889,4,1.0
119892,4,0.987
119893,4,1.0
120210,1,0.044
120279,1,0.036
120280,2,0.179
120421,4,0.965
120422,4,1.0
120423,3,0.881
120424,4,0.957
120436,1,0.005
120561,2,0.234
120562,4,1.0
120563,4,0.997
120564,4,0.996
120565,4,0.997
120566,4,1.0
120586,4,1.0
120587,2,0.417
120596,4,0.999
120601,2,0.11
120613,1,0.025
120905,1,0.037
120944,1,0.01
120945,1,0.079
121123,1,0.011
121124,4,1.0
121128,2,0.283
121129,4,0.997
121130,4,0.997
121131,4,1.0
121132,4,1.0
121133,4,1.0
121138,1,0.012
121139,2,0.11
121269,4,0.981
121270,2,0.433
121273,4,0.998
121274,2,0.171
121293,4,1.0
121294,2,0.166
121295,4,1.0
121296,4,1.0
121303,4,1.0
121304,4,1.0
121305,4,1.0
121614,1,0.051
121615,2,0.399
121684,1,0.086
121689,2,0.189
121824,1,0.008
121830,4,0.973
121832,4,0.991
121837,4,1.0
121838,1,0.096
121839,4,1.0
121840,4,0.986
121841,4,1.0
121978,4,1.0
121980,4,0.983
121981,4,1.0
121982,2,0.182
121983,3,0.699
121988,2,0.415
121996,2,0.369
121998,1,0.062
122003,4,0.973
122013,4,1.0
122014,4,0.999
122054,2,0.408
122319,3,0.521
122321,1,0.026
122371,1,0.015
122540,2,0.405
122541,4,0.98
122547,4,1.0
122548,2,0.18
122683,1,0.076
122685,4,1.0
122686,4,0.999
122692,3,0.653
122693,2,0.113
122708,1,0.006
122711,2,0.157
122719,4,1.0
123029,4,1.0
123091,1,0.048
123247,1,0.008
123248,4,0.98
123249,1,0.015
123256,3,0.558
123393,4,1.0
123395,4,1.0
123396,1,0.072
123400,4,0.996
123421,4,1.0
123736,3,0.833
123738,3,0.732
123739,4,0.945
123800,2,0.122
123801,2,0.114
123957,2,0.178
123965,4,0.998
123970,1,0.003
123971,2,0.171
124098,4,1.0
124100,4,1.0
124101,4,1.0
124130,2,0.109
124443,2,0.441
124622,1,0.0
124665,4,1.0
124666,3,0.887
124667,4,1.0
124674,4,1.0
124677,2,0.289
124678,4,1.0
124679,4,1.0
124805,2,0.18
124806,4,0.99
124808,4,1.0
124839,1,0.067
124844,1,0.02
124867,1,0.006
125154,2,0.407
125155,1,0.015
125156,1,0.058
125375,4,0.999
125376,4,0.982
125382,4,0.942
125384,4,0.916
125385,1,0.007
125386,4,1.0
125387,4,0.996
125388,4,1.0
125513,4,1.0
125514,4,0.986
125517,4,1.0
125531,1,0.067
125546,2,0.424
125547,1,0.077
125864,2,0.266
125918,1,0.016
126039,1,0.0
126079,1,0.006
126085,1,0.076
126086,1,0.009
126087,2,0.145
126088,4,0.999
126089,2,0.483
126090,4,0.99
126096,4,0.976
126220,4,0.998
126222,4,1.0
126223,1,0.012
126224,4,1.0
126239,4,0.999
126255,2,0.114
126779,2,0.234
126787,1,0.01
126789,4,1.0
126793,4,0.998
126794,4,1.0
126795,4,1.0
126796,4,1.0
126797,4,0.999
126798,4,1.0
126799,4,1.0
126929,4,0.999
126930,4,1.0
126931,1,0.062
126932,2,0.42
126937,2,0.417
126946,1,0.027
126973,4,0.997
126974,1,0.073
126975,1,0.022
126977,3,0.685
126983,1,0.011
127504,4,1.0
127505,4,1.0
127635,4,1.0
127637,4,1.0
127639,1,0.02
127641,1,0.045
127643,4,1.0
127644,1,0.0
127645,1,0.037
127655,1,0.078
127657,4,0.996
127686,1,0.062
127687,2,0.123
128164,1,0.079
128205,1,0.008
128342,4,0.999
128345,1,0.072
128346,4,0.997
128347,1,0.028
128350,2,0.182
128351,4,1.0
128352,1,0.054
128363,2,0.274
128365,1,0.021
128875,3,0.898
128915,4,1.0
128918,4,0.983
128943,1,0.0
129050,4,1.0
129051,4,1.0
129052,4,1.0
129056,2,0.379
129057,2,0.185
129058,4,0.999
129059,1,0.094
129076,4,0.989
129087,3,0.6
129410,1,0.091
129439,1,0.056
129583,3,0.876
129757,4,1.0
129758,4,1.0
129759,4,0.988
129760,4,0.998
129763,1,0.019
129764,1,0.099
129765,4,1.0
129766,1,0.094
130115,1,0.037
130116,3,0.53
130308,2,0.103
130330,4,1.0
130465,4,1.0
130466,4,1.0
