tileid,class_1000,quantile_1000,class_rybski,quantile_rybski,class_marco,quantile_marco,class_truth,quantile_truth
194046,4,0.9690000000000001,2,0.341,4,1.0,4,1.0
194047,2,0.14800000000000002,1,0.013999999999999999,2,0.23,2,0.42
194048,2,0.337,1,0.013999999999999999,2,0.261,3,0.569
194049,3,0.5579999999999999,1,0.017,3,0.524,4,0.963
194050,3,0.741,1,0.057,2,0.451,3,0.726
194051,2,0.33799999999999997,1,0.011000000000000001,3,0.507,3,0.675
194052,4,0.937,2,0.26899999999999996,4,0.9109999999999999,4,0.9990000000000001
194053,2,0.37200000000000005,1,0.04,3,0.716,2,0.233
194054,2,0.35600000000000004,2,0.26,3,0.546,3,0.755
194055,2,0.133,1,0.015,2,0.23600000000000002,2,0.172
194056,2,0.345,1,0.06,2,0.235,3,0.531
194057,3,0.723,1,0.044000000000000004,2,0.49700000000000005,3,0.64
194058,1,0.008,1,0.012,1,0.012,1,0.008
194059,1,0.011000000000000001,1,0.016,1,0.011000000000000001,1,0.016
194060,2,0.28,1,0.052000000000000005,2,0.215,2,0.22399999999999998
194061,2,0.337,1,0.021,3,0.636,3,0.628
194062,3,0.695,2,0.22699999999999998,3,0.518,4,0.978
194063,1,0.016,1,0.013999999999999999,1,0.051,1,0.077
194064,1,0.025,1,0.003,1,0.005,1,0.023
194065,1,0.009000000000000001,1,0.017,1,0.006999999999999999,1,0.024
194066,1,0.013999999999999999,1,0.008,1,0.012,1,0.053
194067,1,0.01,1,0.008,1,0.011000000000000001,1,0.055
194068,1,0.019,1,0.016,2,0.102,1,0.08800000000000001
194069,2,0.139,1,0.011000000000000001,1,0.084,2,0.12300000000000001
194070,2,0.10400000000000001,1,0.061,2,0.18,2,0.168
194078,1,0.094,1,0.048,1,0.042,1,0.084
194235,3,0.8959999999999999,1,0.081,2,0.18600000000000003,3,0.511
194236,3,0.873,2,0.335,4,0.975,4,0.9990000000000001
194237,1,0.071,1,0.037000000000000005,2,0.244,2,0.212
194238,2,0.145,1,0.06,2,0.28,2,0.19899999999999998
194239,2,0.22,2,0.10099999999999999,2,0.374,3,0.6890000000000001
194240,2,0.2,1,0.081,2,0.40700000000000003,2,0.344
194241,2,0.113,1,0.062,2,0.425,2,0.17
194242,2,0.13,1,0.062,1,0.081,2,0.157
194259,1,0.034,1,0.025,1,0.035,1,0.051
194449,2,0.493,2,0.166,2,0.47,3,0.7290000000000001
194450,2,0.187,2,0.18,2,0.386,2,0.446
194451,2,0.32,2,0.142,2,0.244,2,0.40299999999999997
194452,3,0.643,1,0.073,3,0.508,3,0.54
194552,3,0.7559999999999999,2,0.342,4,0.9940000000000001,4,0.9209999999999999
