tileid,class,quantile
135225,2,0.363
135226,2,0.275
135228,3,0.746
135229,3,0.593
135230,2,0.306
135231,1,0.023
135232,1,0.081
135234,2,0.205
135237,2,0.162
135239,4,0.949
135240,4,1.0
135241,4,1.0
135242,3,0.564
135243,2,0.265
135384,1,0.008
135385,3,0.83
135386,3,0.872
135424,3,0.673
135425,2,0.151
135426,4,1.0
135427,4,1.0
135469,1,0.082
135474,2,0.231
135475,2,0.348
135786,2,0.248
135917,1,0.1
135926,3,0.794
135927,1,0.071
135928,1,0.071
135933,2,0.431
135936,3,0.517
135937,2,0.298
135938,2,0.485
135939,2,0.302
135940,1,0.023
135941,2,0.397
135942,2,0.105
135943,2,0.124
135944,2,0.142
135945,2,0.16
135946,2,0.336
135947,4,0.918
135948,3,0.683
135949,3,0.671
135950,4,1.0
136008,4,1.0
136092,1,0.077
136093,4,1.0
136094,4,1.0
136096,2,0.152
136132,3,0.54
136133,3,0.802
136134,2,0.231
136181,2,0.316
136183,2,0.311
136184,2,0.299
136495,1,0.096
136496,2,0.249
136617,3,0.659
136623,2,0.334
136630,2,0.3
136635,2,0.187
136636,1,0.091
136637,2,0.105
136645,2,0.291
136648,2,0.328
136649,2,0.155
136650,1,0.072
136651,1,0.088
136652,2,0.294
136653,2,0.103
136654,2,0.3
136655,2,0.268
136657,2,0.345
136658,2,0.475
136696,1,0.046
136800,4,1.0
136802,4,1.0
136803,4,1.0
136804,1,0.059
136837,1,0.011
136839,3,0.548
136840,3,0.709
136841,4,0.999
137204,2,0.45
137221,1,0.04
137223,1,0.071
137322,1,0.06
137357,2,0.189
137358,2,0.108
137502,1,0.063
137503,1,0.099
137504,1,0.059
137508,4,0.972
137509,4,0.999
137511,2,0.22
137545,2,0.177
137546,3,0.669
137548,2,0.177
137549,4,1.0
137598,2,0.387
137897,1,0.082
137905,2,0.136
137913,2,0.294
137914,2,0.459
137916,2,0.157
137928,1,0.077
138063,2,0.397
138066,2,0.403
138071,2,0.227
138072,2,0.107
138073,4,1.0
138074,2,0.202
138079,2,0.139
138134,1,0.022
138135,2,0.358
138210,1,0.095
138211,1,0.022
138212,1,0.03
138213,1,0.074
138253,3,0.679
138255,4,0.946
138256,4,0.947
138266,4,1.0
138267,3,0.676
138307,2,0.16
138605,2,0.425
138606,1,0.043
138614,2,0.118
138623,2,0.257
138625,1,0.063
138626,2,0.391
138636,2,0.146
138753,2,0.313
138763,2,0.258
138770,2,0.144
138776,4,0.995
138779,1,0.068
138780,2,0.375
138781,2,0.316
138789,1,0.056
138791,1,0.07
138796,2,0.164
138797,2,0.121
138842,1,0.016
138917,4,1.0
138918,2,0.439
138919,2,0.237
138920,2,0.392
138921,2,0.111
138922,1,0.06
138963,2,0.193
138964,2,0.353
138974,4,1.0
138975,4,1.0
138976,4,1.0
138977,4,0.988
139011,2,0.175
139304,2,0.155
139305,2,0.428
139333,2,0.415
139334,2,0.161
139335,2,0.15
139336,2,0.373
139338,2,0.257
139346,2,0.25
139445,1,0.029
139475,4,0.973
139486,2,0.336
139489,3,0.647
139490,2,0.135
139495,3,0.517
139625,2,0.224
139626,4,1.0
